tc_name,lifetime,commit frequency
httpclient/src/test/java/org/apache/http/impl/auth/TestNonStandardHttpScheme.java,18,18.0
httpclient/src/test/java/org/apache/http/conn/util/TestPublicSuffixListParser.java,419,209.0
httpclient/src/test/java/org/apache/http/conn/routing/TestRouteDirector.java,2424,315.0
httpclient/src/test/java/org/apache/http/conn/TestConnectionReuse.java,1343,80.0
module-client/src/test/java/org/apache/http/mockup/HttpConnectionMockup.java,650,27.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/ehcache/TestEhcacheHttpCache.java,6,2.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/DoNotTestProtocolRequirements.java,940,8.0
module-client/src/test/java/org/apache/http/mockup/SecureSocketFactoryMockup.java,623,66.0
module-client/src/test/java/org/apache/http/conn/TestExceptions.java,599,599.0
httpclient/src/test/java/org/apache/http/impl/client/TestFutureRequestExecutionService.java,932,31.0
module-client/src/test/java/org/apache/http/impl/conn/TestLocalServer.java,650,29.0
httpclient/src/test/java/org/apache/http/client/methods/TestHttpRequestBase.java,2424,209.0
httpmime/src/test/java/org/apache/http/entity/mime/TestMultipartForm.java,2424,31.5
module-client/src/test/java/org/apache/http/conn/TestConnectionReuse.java,302,26.5
httpclient/src/test/java/org/apache/http/impl/client/TestCookieIdentityComparator.java,2424,130.0
httpclient/src/test/java/org/apache/http/impl/auth/TestBasicScheme.java,2424,71.0
module-client/src/test/java/org/apache/http/impl/client/TestAllHttpClientImpl.java,529,63.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCacheEntry.java,125,6.0
httpclient/src/test/java/org/apache/http/impl/cookie/TestRFC6265CookieSpecBase.java,112,112.0
httpclient/src/test/java/org/apache/http/localserver/BasicServerTestBase.java,1227,105.0
httpclient/src/test/java/org/apache/http/impl/cookie/TestRFC2109CookieAttribHandlers.java,2274,284.0
httpclient/src/test/java/org/apache/http/impl/client/integration/TestConnectionManagement.java,1081,24.0
module-client/src/test/java/org/apache/http/impl/cookie/TestPublicSuffixListParser.java,220,20.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestProtocolRecommendations.java,1869,3.0
httpclient/src/test/java/org/apache/http/impl/client/TestDefaultConnKeepAliveStrategy.java,2424,209.0
httpclient/src/test/java/org/apache/http/auth/util/TestByteArrayBuilder.java,71,71.0
module-client/src/test/java/org/apache/http/client/TestAll.java,529,44.5
module-client/src/test/java/org/apache/http/conn/TestRouteDirector.java,211,27.0
httpclient/src/test/java/org/apache/http/conn/util/TestInetAddressUtils.java,2424,92.5
module-client/src/test/java/org/apache/http/impl/auth/TestAllAuthImpl.java,529,529.0
httpclient/src/test/java/org/apache/http/impl/client/execchain/TestConnectionReleaseTriggerImpl.java,46,23.0
httpclient/src/test/java/org/apache/http/conn/routing/TestHttpRoute.java,2424,97.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/ehcache/TestEhcacheHttpCacheStorage.java,1886,73.0
module-client/src/test/java/org/apache/http/conn/params/TestParams.java,70,70.0
httpclient-osgi/src/test/java/org/apache/http/osgi/impl/TestPropertiesUtils.java,916,259.0
httpclient/src/test/java/org/apache/http/impl/client/DummyHttpClient.java,498,61.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCachingExec.java,1046,5.0
httpclient/src/test/java/org/apache/http/client/config/TestRequestConfig.java,811,72.0
httpclient/src/test/java/org/apache/http/impl/client/TestClientAuthentication.java,1227,57.0
httpclient/src/test/java/org/apache/http/impl/cookie/TestBasicClientCookie2.java,1913,314.5
httpclient/src/test/java/org/apache/http/impl/client/integration/TestSPNegoScheme.java,1168,44.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/OKStatus.java,1916,383.0
module-httpmime/src/test/java/org/apache/http/client/mime/TestMultipartFormHttpEntity.java,2,2.0
httpclient/src/test/java/org/apache/http/conn/routing/TestRouteTracker.java,2424,134.0
httpclient/src/test/java/org/apache/http/mockup/ProxySelectorMockup.java,1367,683.5
httpclient/src/test/java/org/apache/http/impl/client/TestInternalHttpClient.java,1023,82.5
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestResponseCache.java,11,5.5
httpclient/src/test/java/org/apache/http/impl/client/integration/TestCookieVirtualHost.java,1034,77.0
httpclient/src/test/java/org/apache/http/conn/ssl/TestSSLSocketFactory.java,2424,35.5
httpclient/src/test/java/org/apache/http/impl/conn/TestAbortHandling.java,307,307.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/AbstractProtocolTest.java,1909,25.5
httpclient/src/test/java/org/apache/http/cookie/TestCookiePathComparator.java,2424,284.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestCacheInvalidator.java,11,5.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestImmediateSchedulingStrategy.java,966,239.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/ConsumableInputStream.java,1443,24.0
module-client/src/test/java/org/apache/http/conn/ssl/TestAllSSL.java,529,264.0
httpclient/src/test/java/org/apache/http/client/protocol/TestResponseContentEncoding.java,1695,24.5
httpclient/src/test/java/org/apache/http/impl/cookie/TestBasicCookieAttribHandlers.java,2424,106.0
module-client/src/test/java/org/apache/http/impl/client/TestStatefulConnManagement.java,283,14.0
module-client/src/test/java/org/apache/http/client/utils/TestRfc3492Idn.java,220,26.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCachingExecChain.java,853,48.0
httpclient/src/test/java/org/apache/http/impl/client/integration/TestStatefulConnManagement.java,1168,30.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCachedResponseSuitabilityChecker.java,1987,63.0
module-httpmime/src/test/java/org/apache/http/entity/mime/TestMultipartFormHttpEntity.java,390,14.5
httpclient/src/test/java/org/apache/http/impl/client/integration/TestClientRequestExecution.java,1168,17.0
httpclient/src/test/java/org/apache/http/localserver/BasicAuthTokenExtractor.java,1957,899.0
httpclient/src/test/java/org/apache/http/conn/TestScheme.java,1608,90.5
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/DoNotTestProtocolRequirements.java,11,5.0
httpclient/src/test/java/org/apache/http/impl/client/TestAuthenticationStrategy.java,1478,30.0
httpclient/src/test/java/org/apache/http/impl/client/integration/TestClientAuthenticationFallBack.java,1168,33.5
httpclient/src/test/java/org/apache/http/impl/conn/TestManagedHttpClientConnectionFactory.java,8,4.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestCachedHttpResponseGenerator.java,11,5.0
httpclient/src/test/java/org/apache/http/impl/client/MockConnPoolControl.java,1489,149.0
httpclient/src/test/java/org/apache/http/impl/client/TestDefaultRedirectStrategy.java,1289,45.0
httpclient/src/test/java/org/apache/http/client/entity/TestGZip.java,1103,47.0
httpclient/src/test/java/org/apache/http/conn/TestEofSensorInputStream.java,1080,12.5
module-client/src/test/java/org/apache/http/localserver/RandomHandler.java,650,144.0
httpclient/src/test/java/org/apache/http/client/utils/TestURLEncodedUtils.java,2424,50.0
httpclient/src/test/java/org/apache/http/client/protocol/TestRequestProxyAuthentication.java,617,3.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestAsynchronousValidationRequest.java,1770,80.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestRequestProtocolCompliance.java,1742,202.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/HttpTestUtils.java,11,0.0
module-client/src/test/java/org/apache/http/conn/routing/TestAllRouting.java,284,284.0
httpclient/src/test/java/org/apache/http/impl/client/MockClock.java,1555,217.0
httpclient-win/src/test/java/org/apache/http/impl/auth/win/TestWindowsNegotiateScheme.java,429,25.5
module-client/src/test/java/org/apache/http/impl/cookie/TestAbstractCookieSpec.java,650,64.5
httpmime/src/test/java/org/apache/http/entity/mime/TestMultipartEntityBuilder.java,1101,124.0
module-client/src/test/java/org/apache/http/localserver/LocalTestServer.java,650,21.5
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestBasicHttpCache.java,1889,28.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestProtocolRequirements.java,11,0.0
httpclient/src/test/java/org/apache/http/impl/conn/tsccm/GetConnThread.java,87,87.0
httpclient/src/test/java/org/apache/http/impl/client/TestRequestWrapper.java,1256,105.0
module-httpmime/src/test/java/org/apache/http/client/mime/TestAll.java,8,3.5
httpclient/src/test/java/org/apache/http/impl/conn/TestPoolingHttpClientConnectionManager.java,1081,98.0
httpclient/src/test/java/org/apache/http/impl/client/TestAbstractHttpClient.java,15,15.0
httpclient/src/test/java/org/apache/http/impl/client/integration/TestClientAuthentication.java,1168,15.0
httpclient/src/test/java/org/apache/http/impl/auth/TestRFC2617Scheme.java,2315,122.0
httpclient/src/test/java/org/apache/http/localserver/EchoHandler.java,2424,209.0
module-client/src/test/java/org/apache/http/conn/ssl/TestHostnameVerifier.java,650,53.5
