project,num_covered_instruction,num_uncovered_instruction,num_total_instruction,C0coverage
Esri/geometry-api-java,0,1005,1005,0
Esri/geometry-api-java,1732,973,2705,64
Esri/geometry-api-java,0,969,969,0
Esri/geometry-api-java,3097,956,4053,76
Esri/geometry-api-java,1005,954,1959,51
Esri/geometry-api-java,726,871,1597,45
Esri/geometry-api-java,4388,824,5212,84
Esri/geometry-api-java,132,815,947,14
Esri/geometry-api-java,1663,714,2377,70
Esri/geometry-api-java,2279,678,2957,77
Esri/geometry-api-java,2866,665,3531,81
Esri/geometry-api-java,3945,616,4561,86
Esri/geometry-api-java,1513,539,2052,74
Esri/geometry-api-java,651,531,1182,55
Esri/geometry-api-java,1577,522,2099,75
Esri/geometry-api-java,1079,493,1572,69
Esri/geometry-api-java,1462,489,1951,75
Esri/geometry-api-java,3020,483,3503,86
Esri/geometry-api-java,1471,478,1949,75
Esri/geometry-api-java,1864,469,2333,80
Esri/geometry-api-java,800,433,1233,65
Esri/geometry-api-java,2208,430,2638,84
Esri/geometry-api-java,1028,423,1451,71
Esri/geometry-api-java,881,421,1302,68
Esri/geometry-api-java,523,411,934,56
Esri/geometry-api-java,1317,399,1716,77
Esri/geometry-api-java,187,398,585,32
Esri/geometry-api-java,905,369,1274,71
Esri/geometry-api-java,517,325,842,61
Esri/geometry-api-java,1733,323,2056,84
Esri/geometry-api-java,1365,310,1675,81
Esri/geometry-api-java,1750,306,2056,85
Esri/geometry-api-java,317,306,623,51
Esri/geometry-api-java,540,304,844,64
Esri/geometry-api-java,479,290,769,62
Esri/geometry-api-java,281,279,560,50
Esri/geometry-api-java,916,268,1184,77
Esri/geometry-api-java,391,258,649,60
Esri/geometry-api-java,970,252,1222,79
Esri/geometry-api-java,N/A,N/A,N/A,5
Esri/geometry-api-java,2015,224,2239,90
Esri/geometry-api-java,1542,212,1754,88
Esri/geometry-api-java,161,209,370,44
Esri/geometry-api-java,449,206,655,69
Esri/geometry-api-java,367,202,569,64
Esri/geometry-api-java,228,200,428,53
Esri/geometry-api-java,739,175,914,81
Esri/geometry-api-java,408,172,580,70
Esri/geometry-api-java,0,168,168,0
Esri/geometry-api-java,590,158,748,79
Esri/geometry-api-java,1659,157,1816,91
Esri/geometry-api-java,1593,156,1749,91
Esri/geometry-api-java,N/A,N/A,N/A,36
Esri/geometry-api-java,362,153,515,70
Esri/geometry-api-java,784,143,927,85
Esri/geometry-api-java,1275,142,1417,90
Esri/geometry-api-java,2245,140,2385,94
Esri/geometry-api-java,367,137,504,73
Esri/geometry-api-java,103,129,232,44
Esri/geometry-api-java,N/A,N/A,N/A,36
Esri/geometry-api-java,104,119,223,47
Esri/geometry-api-java,307,118,425,72
Esri/geometry-api-java,291,118,409,71
Esri/geometry-api-java,412,117,529,78
Esri/geometry-api-java,1069,116,1185,90
Esri/geometry-api-java,444,116,560,79
Esri/geometry-api-java,322,113,435,74
Esri/geometry-api-java,266,112,378,70
Esri/geometry-api-java,343,107,450,76
Esri/geometry-api-java,1060,105,1165,91
Esri/geometry-api-java,168,93,261,64
Esri/geometry-api-java,0,92,92,0
Esri/geometry-api-java,N/A,N/A,N/A,74
Esri/geometry-api-java,N/A,N/A,N/A,56
Esri/geometry-api-java,N/A,N/A,N/A,57
Esri/geometry-api-java,N/A,N/A,N/A,35
Esri/geometry-api-java,N/A,N/A,N/A,74
Esri/geometry-api-java,N/A,N/A,N/A,56
Esri/geometry-api-java,N/A,N/A,N/A,41
Esri/geometry-api-java,N/A,N/A,N/A,88
Esri/geometry-api-java,N/A,N/A,N/A,51
Esri/geometry-api-java,N/A,N/A,N/A,56
Esri/geometry-api-java,N/A,N/A,N/A,69
Esri/geometry-api-java,N/A,N/A,N/A,86
Esri/geometry-api-java,N/A,N/A,N/A,82
Esri/geometry-api-java,N/A,N/A,N/A,74
Esri/geometry-api-java,N/A,N/A,N/A,42
Esri/geometry-api-java,N/A,N/A,N/A,87
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,N/A,N/A,N/A,87
Esri/geometry-api-java,N/A,N/A,N/A,73
Esri/geometry-api-java,N/A,N/A,N/A,93
Esri/geometry-api-java,N/A,N/A,N/A,94
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,N/A,N/A,N/A,27
Esri/geometry-api-java,N/A,N/A,N/A,73
Esri/geometry-api-java,N/A,N/A,N/A,93
Esri/geometry-api-java,N/A,N/A,N/A,84
Esri/geometry-api-java,N/A,N/A,N/A,89
Esri/geometry-api-java,N/A,N/A,N/A,97
Esri/geometry-api-java,N/A,N/A,N/A,67
Esri/geometry-api-java,N/A,N/A,N/A,91
Esri/geometry-api-java,N/A,N/A,N/A,85
Esri/geometry-api-java,N/A,N/A,N/A,73
Esri/geometry-api-java,N/A,N/A,N/A,79
Esri/geometry-api-java,N/A,N/A,N/A,57
Esri/geometry-api-java,N/A,N/A,N/A,37
Esri/geometry-api-java,N/A,N/A,N/A,89
Esri/geometry-api-java,N/A,N/A,N/A,46
Esri/geometry-api-java,N/A,N/A,N/A,9
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,93
Esri/geometry-api-java,N/A,N/A,N/A,11
Esri/geometry-api-java,N/A,N/A,N/A,89
Esri/geometry-api-java,N/A,N/A,N/A,67
Esri/geometry-api-java,N/A,N/A,N/A,70
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,64
Esri/geometry-api-java,N/A,N/A,N/A,62
Esri/geometry-api-java,N/A,N/A,N/A,95
Esri/geometry-api-java,N/A,N/A,N/A,64
Esri/geometry-api-java,N/A,N/A,N/A,39
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,N/A,N/A,N/A,67
Esri/geometry-api-java,N/A,N/A,N/A,77
Esri/geometry-api-java,N/A,N/A,N/A,59
Esri/geometry-api-java,N/A,N/A,N/A,75
Esri/geometry-api-java,N/A,N/A,N/A,87
Esri/geometry-api-java,N/A,N/A,N/A,87
Esri/geometry-api-java,N/A,N/A,N/A,87
Esri/geometry-api-java,N/A,N/A,N/A,92
Esri/geometry-api-java,N/A,N/A,N/A,86
Esri/geometry-api-java,N/A,N/A,N/A,20
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,N/A,N/A,N/A,61
Esri/geometry-api-java,N/A,N/A,N/A,86
Esri/geometry-api-java,N/A,N/A,N/A,23
Esri/geometry-api-java,N/A,N/A,N/A,23
Esri/geometry-api-java,N/A,N/A,N/A,23
Esri/geometry-api-java,N/A,N/A,N/A,23
Esri/geometry-api-java,N/A,N/A,N/A,98
Esri/geometry-api-java,N/A,N/A,N/A,93
Esri/geometry-api-java,N/A,N/A,N/A,93
Esri/geometry-api-java,N/A,N/A,N/A,93
Esri/geometry-api-java,N/A,N/A,N/A,92
Esri/geometry-api-java,N/A,N/A,N/A,85
Esri/geometry-api-java,N/A,N/A,N/A,84
Esri/geometry-api-java,N/A,N/A,N/A,84
Esri/geometry-api-java,N/A,N/A,N/A,84
Esri/geometry-api-java,N/A,N/A,N/A,83
Esri/geometry-api-java,N/A,N/A,N/A,83
Esri/geometry-api-java,N/A,N/A,N/A,81
Esri/geometry-api-java,N/A,N/A,N/A,64
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,N/A,N/A,N/A,89
Esri/geometry-api-java,N/A,N/A,N/A,92
Esri/geometry-api-java,N/A,N/A,N/A,76
Esri/geometry-api-java,N/A,N/A,N/A,68
Esri/geometry-api-java,N/A,N/A,N/A,61
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,30
Esri/geometry-api-java,N/A,N/A,N/A,94
Esri/geometry-api-java,N/A,N/A,N/A,93
Esri/geometry-api-java,N/A,N/A,N/A,92
Esri/geometry-api-java,N/A,N/A,N/A,71
Esri/geometry-api-java,N/A,N/A,N/A,50
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,N/A,N/A,N/A,90
Esri/geometry-api-java,N/A,N/A,N/A,72
Esri/geometry-api-java,N/A,N/A,N/A,44
Esri/geometry-api-java,N/A,N/A,N/A,38
Esri/geometry-api-java,N/A,N/A,N/A,89
Esri/geometry-api-java,N/A,N/A,N/A,88
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,N/A,N/A,N/A,98
Esri/geometry-api-java,N/A,N/A,N/A,97
Esri/geometry-api-java,N/A,N/A,N/A,93
Esri/geometry-api-java,N/A,N/A,N/A,88
Esri/geometry-api-java,N/A,N/A,N/A,73
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,0,N/A,N/A,0
Esri/geometry-api-java,N/A,N/A,N/A,97
Esri/geometry-api-java,N/A,N/A,N/A,97
Esri/geometry-api-java,N/A,N/A,N/A,95
Esri/geometry-api-java,N/A,N/A,N/A,94
Esri/geometry-api-java,N/A,N/A,N/A,92
Esri/geometry-api-java,N/A,N/A,N/A,89
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,80
Esri/geometry-api-java,N/A,N/A,N/A,60
Esri/geometry-api-java,N/A,N/A,N/A,95
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,N/A,0,N/A,100
Esri/geometry-api-java,1008,395,1403,72
Esri/geometry-api-java,337,342,679,50
Esri/geometry-api-java,0,97,97,0
Esri/geometry-api-java,58,55,113,51
Esri/geometry-api-java,31,50,81,38
Esri/geometry-api-java,116,41,157,74
Esri/geometry-api-java,68,41,109,62
Esri/geometry-api-java,N/A,N/A,N/A,8
Esri/geometry-api-java,47,28,75,63
Esri/geometry-api-java,33,27,60,55
Esri/geometry-api-java,N/A,N/A,N/A,28
Esri/geometry-api-java,126,25,151,83
Esri/geometry-api-java,N/A,N/A,N/A,47
Esri/geometry-api-java,N/A,N/A,N/A,47
Esri/geometry-api-java,N/A,N/A,N/A,88
Esri/geometry-api-java,N/A,0,N/A,100
FasterXML/jackson-annotations,333,288,621,54
FasterXML/jackson-annotations,443,202,645,69
FasterXML/jackson-annotations,187,93,280,67
FasterXML/jackson-annotations,0,79,79,0
FasterXML/jackson-annotations,0,68,68,0
FasterXML/jackson-annotations,0,68,68,0
FasterXML/jackson-annotations,0,58,58,0
FasterXML/jackson-annotations,0,58,58,0
FasterXML/jackson-annotations,234,42,276,85
FasterXML/jackson-annotations,26,38,64,41
FasterXML/jackson-annotations,86,25,111,77
FasterXML/jackson-annotations,10,25,35,29
FasterXML/jackson-annotations,55,23,78,71
FasterXML/jackson-annotations,11,19,30,37
FasterXML/jackson-annotations,6,17,23,26
FasterXML/jackson-annotations,128,10,138,93
FasterXML/jackson-annotations,99,8,107,93
FasterXML/jackson-annotations,N/A,N/A,N/A,96
FasterXML/jackson-annotations,N/A,N/A,N/A,94
FasterXML/jackson-annotations,N/A,N/A,N/A,94
FasterXML/jackson-annotations,N/A,N/A,N/A,88
FasterXML/jackson-annotations,N/A,N/A,N/A,43
FasterXML/jackson-annotations,0,N/A,N/A,0
FasterXML/jackson-annotations,0,N/A,N/A,0
FasterXML/jackson-annotations,0,N/A,N/A,0
FasterXML/jackson-annotations,0,N/A,N/A,0
FasterXML/jackson-core,690,341,1031,67
FasterXML/jackson-core,131,331,462,28
FasterXML/jackson-core,487,291,778,63
FasterXML/jackson-core,851,203,1054,81
FasterXML/jackson-core,87,166,253,34
FasterXML/jackson-core,434,100,534,81
FasterXML/jackson-core,91,100,191,48
FasterXML/jackson-core,72,42,114,63
FasterXML/jackson-core,69,42,111,62
FasterXML/jackson-core,59,42,101,58
FasterXML/jackson-core,12,37,49,24
FasterXML/jackson-core,291,17,308,94
FasterXML/jackson-core,48,16,64,75
FasterXML/jackson-core,92,9,101,91
FasterXML/jackson-core,69,9,78,88
FasterXML/jackson-core,0,9,9,0
FasterXML/jackson-core,N/A,N/A,N/A,98
FasterXML/jackson-core,N/A,N/A,N/A,97
FasterXML/jackson-core,N/A,N/A,N/A,95
FasterXML/jackson-core,0,N/A,N/A,0
FasterXML/jackson-core,N/A,N/A,N/A,94
FasterXML/jackson-core,882,754,1636,54
FasterXML/jackson-core,382,333,715,53
FasterXML/jackson-core,311,159,470,66
FasterXML/jackson-core,805,586,1391,58
FasterXML/jackson-core,670,359,1029,65
FasterXML/jackson-core,345,128,473,73
FasterXML/jackson-core,34,35,69,49
FasterXML/jackson-core,57,12,69,83
FasterXML/jackson-core,86,130,216,40
FasterXML/jackson-core,95,66,161,59
FasterXML/jackson-core,73,20,93,78
FasterXML/jackson-core,59,9,68,87
FasterXML/jackson-core,412,478,890,46
FasterXML/jackson-core,210,307,517,41
FasterXML/jackson-core,639,256,895,71
FasterXML/jackson-core,492,138,630,78
FasterXML/jackson-core,270,65,335,81
FasterXML/jackson-core,167,42,209,80
FasterXML/jackson-core,250,31,281,89
FasterXML/jackson-core,73,15,88,83
FasterXML/jackson-core,13,13,26,50
FasterXML/jackson-core,N/A,N/A,N/A,99
FasterXML/jackson-core,N/A,N/A,N/A,98
FasterXML/jackson-core,N/A,N/A,N/A,43
FasterXML/jackson-core,N/A,0,N/A,100
FasterXML/jackson-core,N/A,0,N/A,100
FasterXML/jackson-core,N/A,0,N/A,100
FasterXML/jackson-core,6055,1905,7960,76
FasterXML/jackson-core,3547,1691,5238,68
FasterXML/jackson-core,3128,1426,4554,69
FasterXML/jackson-core,4468,1181,5649,79
FasterXML/jackson-core,2890,1119,4009,72
FasterXML/jackson-core,537,255,792,68
FasterXML/jackson-core,232,78,310,75
FasterXML/jackson-core,N/A,N/A,N/A,84
FasterXML/jackson-core,N/A,N/A,N/A,95
FasterXML/jackson-core,N/A,N/A,N/A,88
FasterXML/jackson-core,N/A,0,N/A,100
FasterXML/jackson-core,2035,345,2380,86
FasterXML/jackson-core,0,190,190,0
FasterXML/jackson-core,822,67,889,92
FasterXML/jackson-core,0,59,59,0
FasterXML/jackson-core,0,51,51,0
FasterXML/jackson-core,0,46,46,0
FasterXML/jackson-core,0,25,25,0
FasterXML/jackson-core,79,0,79,100
FasterXML/jackson-core,47,0,47,100
FasterXML/jackson-core,0,12,12,0
FasterXML/jackson-core,22,5,27,81
FasterXML/jackson-core,109,385,494,22
FasterXML/jackson-core,52,282,334,16
FasterXML/jackson-core,945,199,1144,83
FasterXML/jackson-core,129,98,227,57
FasterXML/jackson-core,179,69,248,72
FasterXML/jackson-core,274,51,325,84
FasterXML/jackson-core,347,49,396,88
FasterXML/jackson-core,110,30,140,79
FasterXML/jackson-core,45,19,64,70
FasterXML/jackson-core,43,12,55,78
FasterXML/jackson-core,N/A,N/A,N/A,91
FasterXML/jackson-core,155,0,155,100
FasterXML/jackson-core,14,0,14,100
FasterXML/jackson-core,11,0,11,100
FasterXML/jackson-databind,1073,1022,2095,51
FasterXML/jackson-databind,1996,949,2945,68
FasterXML/jackson-databind,939,735,1674,56
FasterXML/jackson-databind,850,709,1559,55
FasterXML/jackson-databind,1041,639,1680,62
FasterXML/jackson-databind,612,623,1235,50
FasterXML/jackson-databind,394,301,695,57
FasterXML/jackson-databind,861,269,1130,76
FasterXML/jackson-databind,178,235,413,43
FasterXML/jackson-databind,128,125,253,51
FasterXML/jackson-databind,116,111,227,51
FasterXML/jackson-databind,211,100,311,68
FasterXML/jackson-databind,252,99,351,72
FasterXML/jackson-databind,82,90,172,48
FasterXML/jackson-databind,251,80,331,76
FasterXML/jackson-databind,127,64,191,66
FasterXML/jackson-databind,180,60,240,75
FasterXML/jackson-databind,N/A,N/A,N/A,26
FasterXML/jackson-databind,N/A,N/A,N/A,14
FasterXML/jackson-databind,113,53,166,68
FasterXML/jackson-databind,116,49,165,70
FasterXML/jackson-databind,44,46,90,49
FasterXML/jackson-databind,113,29,142,80
FasterXML/jackson-databind,300,27,327,92
FasterXML/jackson-databind,N/A,N/A,N/A,95
FasterXML/jackson-databind,0,N/A,N/A,0
FasterXML/jackson-databind,N/A,N/A,N/A,76
FasterXML/jackson-databind,N/A,N/A,N/A,78
FasterXML/jackson-databind,N/A,N/A,N/A,58
FasterXML/jackson-databind,0,N/A,N/A,0
FasterXML/jackson-databind,N/A,N/A,N/A,33
FasterXML/jackson-databind,N/A,N/A,N/A,99
FasterXML/jackson-databind,N/A,N/A,N/A,98
FasterXML/jackson-databind,N/A,N/A,N/A,91
FasterXML/jackson-databind,N/A,N/A,N/A,96
FasterXML/jackson-databind,N/A,N/A,N/A,94
FasterXML/jackson-databind,N/A,N/A,N/A,93
FasterXML/jackson-databind,N/A,N/A,N/A,88
FasterXML/jackson-databind,N/A,N/A,N/A,88
FasterXML/jackson-databind,0,N/A,N/A,0
FasterXML/jackson-databind,0,N/A,N/A,0
FasterXML/jackson-databind,0,N/A,N/A,0
FasterXML/jackson-databind,0,N/A,N/A,0
FasterXML/jackson-databind,0,N/A,N/A,0
FasterXML/jackson-databind,N/A,N/A,N/A,96
FasterXML/jackson-databind,N/A,N/A,N/A,94
FasterXML/jackson-databind,N/A,N/A,N/A,87
FasterXML/jackson-databind,N/A,N/A,N/A,60
FasterXML/jackson-databind,76,0,76,100
FasterXML/jackson-databind,N/A,0,N/A,100
FasterXML/jackson-databind,N/A,0,N/A,100
FasterXML/jackson-databind,N/A,0,N/A,100
FasterXML/jackson-databind,N/A,0,N/A,100
FasterXML/jackson-databind,63,5,68,93
FasterXML/jackson-databind,43,5,48,90
FasterXML/jackson-databind,0,3,3,0
FasterXML/jackson-databind,11,0,11,100
FasterXML/jackson-databind,437,76,513,85
FasterXML/jackson-databind,135,48,183,74
FasterXML/jackson-databind,473,36,509,93
FasterXML/jackson-databind,55,36,91,60
FasterXML/jackson-databind,234,34,268,87
FasterXML/jackson-databind,197,32,229,86
FasterXML/jackson-databind,122,23,145,84
FasterXML/jackson-databind,15,19,34,44
FasterXML/jackson-databind,N/A,N/A,N/A,20
FasterXML/jackson-databind,23,9,32,72
FasterXML/jackson-databind,6,5,11,55
FasterXML/jackson-databind,5,0,5,100
FasterXML/jackson-databind,236,1069,1305,18
FasterXML/jackson-databind,1891,620,2511,75
FasterXML/jackson-databind,1070,596,1666,64
FasterXML/jackson-databind,2941,436,3377,87
FasterXML/jackson-databind,1205,223,1428,84
FasterXML/jackson-databind,366,195,561,65
FasterXML/jackson-databind,122,179,301,41
FasterXML/jackson-databind,149,167,316,47
FasterXML/jackson-databind,394,165,559,70
FasterXML/jackson-databind,94,130,224,42
FasterXML/jackson-databind,560,122,682,82
FasterXML/jackson-databind,122,119,241,51
FasterXML/jackson-databind,290,88,378,77
FasterXML/jackson-databind,0,68,68,0
FasterXML/jackson-databind,41,61,102,40
FasterXML/jackson-databind,237,46,283,84
FasterXML/jackson-databind,50,46,96,52
FasterXML/jackson-databind,N/A,N/A,N/A,38
FasterXML/jackson-databind,N/A,N/A,N/A,57
FasterXML/jackson-databind,N/A,N/A,N/A,28
