Date,Author,File,Attribution,ID
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/JVM.java,production,441
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/MapBackedDataHolder.java,production,442
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/ReferenceByIdMarshaller.java,production,446
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/ReferenceByIdMarshallingStrategy.java,production,447
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/ReferenceByIdUnmarshaller.java,production,448
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/ReferenceByXPathMarshaller.java,production,449
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/ReferenceByXPathMarshallingStrategy.java,production,450
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/ReferenceByXPathUnmarshaller.java,production,451
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/ReferencingMarshallingContext.java,production,452
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/SequenceGenerator.java,production,453
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/TreeMarshaller.java,production,454
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/TreeMarshallingStrategy.java,production,455
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/TreeUnmarshaller.java,production,456
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/ArrayIterator.java,production,459
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/ClassLoaderReference.java,production,461
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/Cloneables.java,production,463
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/CompositeClassLoader.java,production,464
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/CustomObjectInputStream.java,production,465
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/CustomObjectOutputStream.java,production,466
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/DependencyInjectionFactory.java,production,467
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/FastField.java,production,468
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/FastStack.java,production,469
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/Fields.java,production,470
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/HierarchicalStreams.java,production,471
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/ObjectIdDictionary.java,production,473
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/OrderRetainingMap.java,production,474
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/Pool.java,production,475
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/PresortedMap.java,production,476
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/PresortedSet.java,production,477
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/Primitives.java,production,478
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/PrioritizedList.java,production,479
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/QuickWriter.java,production,480
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/SelfStreamingInstanceChecker.java,production,481
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/ThreadSafePropertyEditor.java,production,484
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/ThreadSafeSimpleDateFormat.java,production,485
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/TypedNull.java,production,486
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/WeakCache.java,production,488
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/XmlHeaderAwareReader.java,production,489
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/AbstractDriver.java,production,490
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/AbstractReader.java,production,491
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/AbstractWriter.java,production,492
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/AttributeNameIterator.java,production,493
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/ExtendedHierarchicalStreamWriter.java,production,495
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/ExtendedHierarchicalStreamWriterHelper.java,production,496
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/HierarchicalStreamReader.java,production,498
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/HierarchicalStreamWriter.java,production,499
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/ReaderWrapper.java,production,501
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/StatefulWriter.java,production,502
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/WriterWrapper.java,production,504
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/binary/BinaryStreamDriver.java,production,505
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/binary/BinaryStreamReader.java,production,506
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/binary/BinaryStreamWriter.java,production,507
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/binary/ReaderDepthState.java,production,508
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/binary/Token.java,production,509
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/json/AbstractJsonWriter.java,production,512
